protein,timestep,rho_pocket_mean,rho_pocket_sd,rho_all_mean,rho_all_sd
Q02763,0.1,0.07932906571590634,0.06041142452597889,0.16500460146798052,0.08595576480306838
Q02763,0.3,0.1237014828620047,0.1333633754176073,0.13954425265426137,0.08256079131354899
Q02763,0.5,0.14580666072441456,0.038118107200965014,0.07555439833000381,0.08234975225992883
Q02763,0.7,0.06506766064338385,0.24938506806137023,0.034392583780386524,0.087121988685358
Q02763,0.9,0.030224455068470962,0.25624552650890986,0.0032408700141410957,0.06850455733541691
P61586,0.1,0.613655761024182,0.10457914595914734,0.7448883905060915,0.053466834619600376
P61586,0.3,0.5105263157894736,0.07156996116403191,0.7295004197125528,0.04316004303480481
P61586,0.5,0.500094831673779,0.07830840663422219,0.6811708118379154,0.030512694551855946
P61586,0.7,0.4543385490753912,0.11781005951425726,0.5693708780131266,0.01830687693548123
P61586,0.9,0.471977240398293,0.1329025393328921,0.5748610799326332,0.03784843460503704
