protein,timestep,rho_pocket_mean,rho_pocket_sd,rho_all_mean,rho_all_sd
P79345,0.1,0.21065869541802168,0.3181621102438713,-0.051466339710439166,0.10807790989314894
P79345,0.3,-0.035041101121261166,0.2356003998937464,-0.04335162414154621,0.0939183526084177
P79345,0.5,-0.041169014053500895,0.33657441517089104,-0.016901216244337516,0.04966421491837894
P79345,0.7,0.13234889724429894,0.2788509933222514,-0.09053632507073933,0.0941177344678258
P79345,0.9,0.026521242367011928,0.25029204093261026,-0.048147037579810543,0.0935308910949107
P62593,0.1,-0.03069494792469422,0.24724726051953844,-0.053184837537456994,0.04616318108969276
P62593,0.3,-0.13146569747504172,0.10291961652147857,-0.06697455749753263,0.04742894389588238
P62593,0.5,-0.07440204372551398,0.15106532759561,-0.09465397571572123,0.06828174037376221
P62593,0.7,-0.14076434522368483,0.16563723874756758,-0.07814396533913158,0.06957625109357697
P62593,0.9,0.005625534112714282,0.03255845436812752,-0.0719848820380751,0.03727727184490119
O74933,0.1,-0.03813785446929431,0.13483600112983682,-0.07301051745581891,0.019215771697969973
O74933,0.3,0.019350785960388667,0.13965508754792194,-0.041358768050935926,0.03594650929121413
O74933,0.5,-0.004228650239726755,0.15736295854785953,-0.052844582526060765,0.05164969131589476
O74933,0.7,0.11720329241106878,0.12114305363585601,0.010075919642324056,0.04376715295949493
O74933,0.9,0.16431735163269529,0.05092719384552271,0.00421346260542392,0.02441365965972456
P26281,0.1,0.17014554726692382,0.18485633034175883,-0.007666863320438125,0.08361486544885337
P26281,0.3,0.12779717791523237,0.22602021154803842,-0.017684433609086225,0.06871989088582618
P26281,0.5,-0.10632274125572147,0.21648533297105516,-0.0648307929287354,0.12039318142835742
P26281,0.7,0.06648525936827573,0.06720278241918841,0.012849874072584375,0.10678957950832826
P26281,0.9,-0.03925246975513473,0.30841536005132775,-0.003968001913789926,0.10051678694148634
P12758,0.1,-0.16701972543914484,0.2058135124039463,-0.11260369608032587,0.020582618949852065
P12758,0.3,-0.052526082915361795,0.09961023363846262,-0.053970180923798815,0.048302344210686625
P12758,0.5,-0.038744624466486424,0.14567597371028868,-0.08494470859979264,0.03597679977554994
P12758,0.7,0.08135007642904978,0.1309354249862585,-0.025482102680762876,0.04528001373247116
P12758,0.9,0.06586820979360652,0.19503266759524035,0.004520863402757987,0.06763252627020197
P0AG16,0.1,-0.01617268843560664,0.12161107388946489,-0.10844912948543403,0.041506665785541005
P0AG16,0.3,-0.10694932147147576,0.12215022108973922,-0.09726136528397337,0.016277463697735906
P0AG16,0.5,0.03603562727555616,0.0827768828668771,-0.08266493519129373,0.04720163485805742
P0AG16,0.7,-0.1363651205958046,0.15163293254016763,-0.01020945599245874,0.04629763203157509
P0AG16,0.9,-0.15828281513028403,0.1676600122163076,-0.0032622452374876584,0.01360649686693401
P9WPY3,0.1,-0.055483880570840395,0.10568910577131134,-0.10308926925673186,0.10621049948945824
P9WPY3,0.3,0.08030421981720462,0.14560698066112224,-0.09692812499975156,0.05536659188405645
P9WPY3,0.5,-0.019046184180271847,0.07217540251226005,-0.1561856495383367,0.048223375894205445
P9WPY3,0.7,0.030263019072865403,0.1309635808701076,-0.10825700245106021,0.0403363610128817
P9WPY3,0.9,0.03194975492918888,0.1004611783296561,-0.15626357960148285,0.07253858627106512
Q02763,0.1,0.0494998173236847,0.18837168446353447,-0.026375865706007785,0.05740796455002649
Q02763,0.3,-0.040366355106433015,0.15882071350336868,-0.03273444284116199,0.06899024478984075
Q02763,0.5,-0.024641765774002105,0.2447226728661897,-0.02766376175226548,0.054633573176404854
Q02763,0.7,-0.18105938971245036,0.08566694965139461,-0.06336622757158906,0.03852870421479191
Q02763,0.9,-0.09626341334711068,0.07240178758793461,-0.043952099625127514,0.044245321423955646
P61586,0.1,0.14140847725444428,0.10174466174204026,-0.05627608499215979,0.030664686543138357
P61586,0.3,0.06328770451142415,0.18548900776474714,-0.07375490810297777,0.05104477115683721
P61586,0.5,0.023332856364265953,0.2545418775261843,-0.08114162745477636,0.09541709532562898
P61586,0.7,0.12100806701193707,0.17435785210270374,-0.07330021423957778,0.08822582465383212
P61586,0.9,0.024945507788492825,0.08656093208448147,-0.13467341996799412,0.06910872488274597
